Unnamed: 0,State / UT,As on 31.03.2019,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total as,State / UT.1,Unnamed: 4,As on 31.03.2019.1,Unnamed: 5,Total as.1
,,,,,,,,,,,on 31.03.2018
,IOCL,HPCL BPCL,Total,Total,,on,,IOCL,HPCL BPCL,Total,
,,,,2,,,,,,,
,,,CPSEs,Outlets,,31.03.2018,,,,,
,,,,,,,(1),(2),(3) (4),(5),(6)
,(1) (2),(3) (4),(5),(6),,(7),,,,,
,,,,,,,Chandigarh,184757,54584 35165,274506,272930
Chandigarh,21,11 10,42,42,,41,Delhi,2954126,774904 1213322,4942352,4824565
Delhi,189,98 107,394,398,,397,Haryana,2867114,1555642 2191525,6614281,5952169
Haryana,1482,772 446,2700,2942,,2862,,,,,
,,,,,,,Himachal Pradesh,1315037,231171 180541,1726749,1527088
Himachal Pradesh,232,125 71,428,441,,432,,,,,
,,,,,,,Jammu & Kashmir,708375,1881580 393706,2983661,2266050
Jammu & Kashmir,230,136 141,507,507,,503,,,,,
,,,,,,,Punjab,4393399,1798011 2115947,8307357,7353947
Punjab,1723,897 625,3245,3444,,3427,,,,,
,,,,,,,Rajasthan,6535123,4615952 4295447,15446522,12285550
Rajasthan,1839,1087 906,3832,4674,,4476,,,,,
,,,,,,,Uttar Pradesh,19888761,7597804 10111393,37597958,30212427
Uttar Pradesh,3826,1706 1489,7021,7776,,7473,,,,,
,,,,,,,Uttarakhand,1757200,243766 520845,2521811,2239506
Uttarakhand,265,178 121,564,598,,590,,,,,
,,,,,,,Sub Total North,40603892,18753414 21057891,80415197,66934232
Sub Total North,9807,5010 3916,18733,20822,,20201,,,,,
,,,,,,,Arunachal Pradesh,241160,0 5984,247144,212424
Arunachal Pradesh,62,0 16,78,94,,85,,,,,
Assam,539,105 157,801,894,,871,Assam,5066466,427203 886581,6380250,4626873
Manipur,79,0 22,101,105,,97,Manipur,501099,0 2878,503977,400301
Meghalaya,120,30 46,196,209,,203,Meghalaya,284250,392 13655,298297,189129
Mizoram,33,3 6,42,43,,41,Mizoram,283205,0 0,283205,249976
Nagaland,52,3 12,67,79,,73,Nagaland,235468,608 10521,246597,196934
Sikkim,20,7 23,50,51,,51,Sikkim,136345,184 0,136529,122969
Tripura,66,0 3,69,71,,71,Tripura,698279,0 0,698279,505271
Sub Total North-East,971,148 285,1404,1546,,1492,Sub Total North East,7446272,428387 919619,8794278,6503877
Andaman & Nicobar,14,0 0,14,14,,14,Andaman & Nicobar,95216,0 0,95216,77818
Bihar,1539,544 683,2766,2859,,2695,Bihar,7938206,4626517 3840831,16405554,12958952
Jharkhand,507,290 338,1135,1219,,1207,Jharkhand,2930168,1369158 873002,5172328,3365159
Orissa,793,330 443,1566,1700,,1681,Orissa,3100132,2859763 2017493,7977388,5928365
West Bengal,1151,495 615,2261,2354,,2333,West Bengal,12022127,4702332 4214616,20939075,17627457
Sub Total East,4004,1659 2079,7742,8146,,7930,Sub Total East,26085849,13557770 10945942,50589561,39957751
Chhattisgarh,543,387 309,1239,1277,,1249,Chhattisgarh,2453203,1532826 801139,4787168,4017727
Dadra & Nagar Haveli,11,11 4,26,31,,31,Dadra & Nagar Haveli,0,87563 0,87563,82199
Daman & Diu,11,11 7,29,32,,32,,,,,
,,,,,,,Daman & Diu,0,36568 24579,61147,58630
Goa,31,37 50,118,118,,116,,,,,
,,,,,,,Goa,13119,313035 155648,481802,469977
Gujarat,1328,840 866,3034,4168,,4025,,,,,
,,,,,,,Gujarat,4957727,2406802 2695002,10059531,8587610
Madhya Pradesh,1489,923 1006,3418,3820,,3711,,,,,
,,,,,,,Madhya Pradesh,6726074,3905244 3483051,14114369,10792567
Maharashtra,2015,1736 1833,5584,6181,,5970,,,,,
,,,,,,,Maharashtra,4076920,11400375 11451133,26928428,24102724
Sub Total West,5428,3945 4075,13448,15627,,15134,,,,,
,,,,,,,Sub Total West,18227043,19682413 18610552,56520008,48111434
Andhra Pradesh,1281,1009 777,3067,3439,,3336,,,,,
,,,,,,,Andhra Pradesh,4694360,6278902 2427676,13400938,13164722
Karnataka1,1952,974 1046,3979,4376,,4214,,,,,
13080566Kerala,908,609 493,2010,2130,,2100,Karnataka,6494081,5229609 3689102,15412792,
Lakshadweep,0,0 0,0,,0.0,0,Kerala,4356469,1693328 2558805,8608602,8287720
Puducherry,80,39 34,153,164,,164,Lakshadweep,7691,0 0,7691,5390
Tamil Nadu,2222,1282 1454,4958,5626,,5388,Puducherry,143072,132067 94344,369483,355032
Telangana,1049,765 643,2457,2748,,2626,Tamil Nadu,11700754,3697134 5293561,20691449,18428977
Sub Total South,7492,4678 4447,16624,18483,,17828,Telangana,4224839,3792122 2538265,10555226,9436266
All India,27702,15440 14802,57951,64624,,62585,Sub Total South,31621266,20823162 16601753,69046181,62758673
"Note:1. In Karnataka, 7 Outlets are of MRPL in CPSEs.",,,,,,,All India,123984322,73245146 68135757,265365225,224265967
