State,PDS  SKO alloc ation,Unnamed: 0,Unnamed: 1,Uplifitment,Unnamed: 2,State / UT,2016-17,Unnamed: 3,2017-18,Unnamed: 4,2018-19,Unnamed: 5,Under PMUY as on 01.04.2019
2015-16,2016-17  2017-18,2018-19,2015-16,2016-17  2017-18,2018-19,(1),(2),,(3),,(4),,(5)
(1) (2),(3) (4),(5),(6),(7) (8),(9),Chandigarh,0,,0,,88,,88
Chandigarh* 2325,0 0,0,663,0 0,0,Delhi,516,,161,,73120,,73797
Delhi* 0,0 0,0,0,0 0,0,Haryana,278751,,78361,,323344,,680456
Haryana* 68750,66252 0,0,54929,35927 0,0,Himachal Pradesh,1601,,28140,,83177,,112918
Himachal Pradesh 18789,18120 14496,14496,18747,17950 14400,14301,Jammu & Kashmir,265787,,107133,,680098,,1053018
Jammu and Kashmir 63175,73056 58476,58476,62313,67873 57557,53923,Punjab,245008,,137343,,826611,,1208962
Punjab* 66444,74334 0,0,64783,62296 0,0,Rajasthan,1722694,,902940,,3069891,,5695525
Rajasthan 385354,371400 259968,137992,374739,355770 110452,69288,Uttar Pradesh,5531159,,954957,,6476981,,12963097
Uttar Pradesh 1212140,1168212 911208,887856,1211419,1167555 901307,873517,Uttarakhand,113866,,23574,,215481,,352921
Uttarakhand 27390,31692 25344,25344,27252,31156 13286,10011,Sub Total North,8159382,,2232609,,11748791,,22140782
Sub Total North 1844367,1803066 1269492,1124164,1814845,1738527 1097002,1021040,Arunachal Pradesh,0,,6362,,32953,,39315
Arunachal Pradesh 8031,9288 7920,7920,8015,9150 7723,7158,,,,,,,,
,,,,,,Assam,2,,1128137,,1707801,,2835940
Assam 250095,289248 245856,245856,249832,287814 245038,242578,,,,,,,,
,,,,,,Manipur,25,,32592,,97760,,130377
Manipur 18201,21060 17904,17904,18148,15235 18196,17680,,,,,,,,
,,,,,,Meghalaya,0,,36844,,103467,,140311
Meghalaya 19788,22884 19440,19440,19751,22694 19356,19272,,,,,,,,
,,,,,,Mizoram,0,,902,,24879,,25781
Mizoram 5192,6012 4800,4800,5164,6013 4800,4800,,,,,,,,
,,,,,,Nagaland,0,,9225,,40177,,49402
Nagaland 13037,15084 12177,10272,13037,9007 9480,9792,,,,,,,,
,,,,,,Sikkim,0,,687,,7111,,7798
Sikkim 4445,4296 3456,3456,4445,4299 3450,3432,,,,,,,,
Tripura 29883,34560 29376,29376,29883,34522 29392,29300,Tripura,0,,46379,,192014,,238393
Sub Total North-East 348672,402432 340929,339024,348275,388734 337435,334012,Sub Total North East,27,,1261128,,2206162,,3467317
Andaman & Nicobar Islands 4492,5160 4128,4128,4478,4868 4014,3786,Andaman & Nicobar,1189,,522,,6178,,7889
Bihar 620003,710736 495432,332592,618441,705334 490280,329588,Bihar,2476953,,2436197,,2981636,,7894786
Jharkhand 204336,219696 186768,186768,202694,219002 176263,150272,Jharkhand,536912,,666631,,1701032,,2904575
Odisha 303287,292296 248448,248448,299674,282962 244343,247739,Orissa,1011955,,1288380,,1925954,,4226289
West Bengal 734111,788868 704016,704016,733172,788263 653631,699313,West Bengal,2520479,,2536306,,3005534,,8062319
Sub Total East 1866229,2016756 1638792,1475952,1858458,2000429 1568531,1430698,Sub Total East,6547488,,6928036,,9620334,,23095858
Chhattisgarh 134064,135384 115056,115056,123846,121671 92679,91542,Chhattisgarh,1105441,,846679,,740584,,2692704
Dadra & Nagar Haveli* 1429,1656 288,0,1429,1658 288,0,Dadra & Nagar Haveli,3211,,8226,,2671,,14108
Daman and Diu* 644,756 132,0,644,480 0,0,Daman & Diu,73,,130,,219,,422
Goa 3997,4620 2259,2112,3922,2630 1428,1416,,,,,,,,
,,,,,,Goa,954,,30,,88,,1072
Gujarat 511546,493008 344520,249718,511308,492702 338163,248657,,,,,,,,
,,,,,,Gujarat,752354,,516660,,1252052,,2521066
Madhya Pradesh 459007,442368 345048,336192,451478,427252 336902,325926,,,,,,,,
,,,,,,Madhya Pradesh,2239821,,1075351,,3130613,,6445785
Maharashtra 487359,563640 384696,286680,477820,517933 377758,241914,,,,,,,,
,,,,,,Maharashtra,858808,,1018570,,2186426,,4063804
Sub Total West  1598045,1641432 1191999,989758,1570448,1564326 1147218,909455,,,,,,,,
,,,,,,Sub Total West,4960662,,3465646,,7312653,,15738961
Andhra Pradesh* 207530,225696 56424,0,180581,191547 26574,0,,,,,,,,
,,,,,,Andhra Pradesh,63428,,16616,,262554,,342598
Karnataka 396756,287532 156000,156000,376843,260254 126539,112452,,,,,,,,
2822822Kerala 91658,88344 58728,55632,91629,88345 58727,55620,Karnataka,15840,,893174,,1913808,,
1,,,,,,,,,,,,,
Lakshadweep  766,936 768,768,766,935 768,768,Kerala,11241,,27152,,171530,,209923
Puducherry* 3315,3840 800,0,3269,3828 660,0,Lakshadweep,0,,134,,156,,290
Tamil Nadu 265933,307560 204528,193776,265932,307572 204915,193775,Puducherry,760,,1861,,10753,,13374
Telangana 135782,155436 103368,97920,132345,133932 100793,94297,Tamil Nadu,272749,,745302,,2123792,,3141843
Sub Total South 1101740,1069344 580616,504096,1051365,986413 518976,456912,Telangana,41,,0,,923800,,923841
Total 6759054,6933030 5021828,4432994,6643391,6678429 4669162,4152117,Sub Total South,364059,,1684239,,5406393,,7454691
,,,,,,All India,20031618,,15571658,,36294333,,71897609
