States/UT's,2017,2018,2019,2020,2021
(1),(2),(3),(4),(5),(6)
Andaman & Nicobar Islands,77048,77818,95216,111914,116534
Andhra Pradesh,11628019,13164722,13400938,13698139,14288832
Arunachal Pradesh,196643,212424,247144,265723,284368
Assam,3290532,4626873,6380250,7114327,7368622
Bihar,9943156,12958952,16405554,17586885,18649169
Chandigarh,270006,272930,274506,278565,281659
Chhattisgarh,3112980,4017727,4787168,5204320,5320754
Dadra & Nagar Haveli and Daman & Diu,138552,140829,148710,159187,162637
Delhi,4780716,4824565,4942352,4955648,5053091
Goa,454979,469977,481802,501716,518919
Gujarat,7757798,8587610,10059531,10534513,10895030
Haryana,5413035,5952169,6614281,6901299,7210546
Himachal Pradesh,1407236,1527088,1726749,1966911,2053143
Jammu and Kashmir,1964174,2266050,2983661,3147033,3242616
Jharkhand,2583493,3365159,5172328,5615407,5766773
Karnataka,11529133,13080566,15412792,16016923,16702757
Kerala,8015385,8287720,8608602,8794625,9100272
Ladakh,,,,79971,84215
Lakshadweep,3956,5390,7691,8267,10076
Madhya Pradesh,9425246,10792567,14114369,14963370,15372920
Maharashtra,22192528,24102724,26928428,27628751,28757177
Manipur,334555,400301,503977,550390,593423
Meghalaya,143813,189129,298297,318746,332316
Mizoram,243837,249976,283205,300109,321037
Nagaland,180406,196934,246597,264534,280710
Odisha,4497851,5928365,7977388,8588263,8886588
Puducherry,344318,355032,369483,370003,380597
Punjab,6901373,7353947,8307357,8549514,8850563
Rajasthan,11052001,12285550,15446522,16251372,16702775
Sikkim,115544,122969,136529,146170,159701
Tamil Nadu,17170554,18428977,20691449,21114555,21687145
Telangana,8921099,9436266,10555226,10895927,11363991
Tripura,440158,505271,698279,738083,759240
Uttar Pradesh,27547819,30212427,37597958,40379541,42319240
Uttarakhand,2116878,2239506,2521811,2650520,2786682
West Bengal,14569049,17627457,20939075,22058515,22819027
TOTAL,198763870,224265967,265365225,278709736,289483145
