State / UT,2017,2018,2019,2020,2021
(1),(2),(3),(4),(5),(6)
Andaman & Nicobar Islands,1189,1711,7889,12436,12602
Andhra Pradesh,63428,80044,342598,391860,391625
Arunachal Pradesh,0,6362,39315,44699,44670
Assam,2,1128139,2835940,3484901,3474326
Bihar,2476953,4913150,7894786,8537893,8523573
Chandigarh,0,0,88,88,87
Chhattisgarh,1105441,1952120,2692704,2989440,2988523
Dadra & Nagar Haveli,3211,11437,14108,14747,14739
Daman & Diu,73,203,422,427,427
Delhi,516,677,73797,76855,76190
Goa,954,984,1072,1082,1081
Gujarat,752354,1269014,2521066,2901059,2899233
Haryana,278751,357112,680456,730928,726751
Himachal Pradesh,1601,29741,112918,135966,135960
Jammu & Kashmir,263889,370227,1042680,1230997,1230134
Ladakh,1898,2693,10338,11083,11072
Jharkhand,536912,1203543,2904575,3261556,3258502
Karnataka,15840,909014,2822822,3146300,3143099
Kerala,11241,38393,209923,256302,256136
Lakshadweep,0,134,290,290,292
Madhya Pradesh,2239821,3315172,6445785,7154600,7143875
Maharashtra,858808,1877378,4063804,4428682,4419772
Manipur,25,32617,130377,156598,156398
Meghalaya,0,36844,140311,150744,150526
Mizoram,0,902,25781,28118,28122
Nagaland,0,9225,49402,55140,54096
Odisha,1011955,2300335,4226289,4740385,4736666
Puducherry,760,2621,13374,13577,13568
Punjab,245008,382351,1208962,1224218,1219883
Rajasthan,1722694,2625634,5695525,6368525,6359564
Sikkim,0,687,7798,8752,8752
Tamil Nadu,272749,1018051,3141843,3242217,3237695
Telangana,41,41,923841,1072321,1071393
Tripura,0,46379,238393,271888,271530
Uttar Pradesh,5531159,6486116,12963097,14756494,14733034
Uttarakhand,113866,137440,352921,404566,403234
West Bengal,2520479,5056785,8062319,8856695,8839050
All India,20031618,35603276,71897609,80162429,80036180
