State / UT,2017,2018,2019,2020,2021,2022
(1),(2),(3),(4),(5),(6),(7)
Andaman & Nicobar Islands,1189,1711,7889,12436,12602,13403
Andhra Pradesh,63428,80044,342598,391860,391625,416861
Arunachal Pradesh,0,6362,39315,44699,44670,47818
Assam,2,1128139,2835940,3484901,3474326,3979854
Bihar,2476953,4913150,7894786,8537893,8523573,10094557
Chandigarh,0,0,88,88,87,92
Chhattisgarh,1105441,1952120,2692704,2989440,2988523,3351181
Dadra & Nagar Haveli and,,,,,,
Daman & Diu,,,,,,
,3284,11640,14530,15174,15166,15050
Delhi,516,677,73797,76855,76190,98756
Goa,954,984,1072,1082,1081,1081
Gujarat,752354,1269014,2521066,2901059,2899233,3438252
Haryana,278751,357112,680456,730928,726751,738980
Himachal Pradesh,1601,29741,112918,135966,135960,138382
Jammu and Kashmir,265787,372920,1053018,1230997,1230134,1238847
Jharkhand,536912,1203543,2904575,3261556,3258502,3474963
Karnataka,15840,909014,2822822,3146300,3143099,3466468
Kerala,11241,38393,209923,256302,256136,300498
Ladakh,-,-,-,11083,11072,11099
Lakshadweep,0,134,290,290,292,302
Madhya Pradesh,2239821,3315172,6445785,7154600,7143875,7938596
Maharashtra,858808,1877378,4063804,4428682,4419772,4698339
Manipur,25,32617,130377,156598,156398,178392
Meghalaya,0,36844,140311,150744,150526,173142
Mizoram,0,902,25781,28118,28122,29645
Nagaland,0,9225,49402,55140,54096,77111
Odisha,1011955,2300335,4226289,4740385,4736666,5188279
Puducherry,760,2621,13374,13577,13568,14218
Punjab,245008,382351,1208962,1224218,1219883,1235939
Rajasthan,1722694,2625634,5695525,6368525,6359564,6620356
Sikkim,0,687,7798,8752,8752,12457
Tamil Nadu,272749,1018051,3141843,3242217,3237695,3450256
Telangana,41,41,923841,1072321,1071393,1111322
Tripura,0,46379,238393,271888,271530,271904
Uttar Pradesh,5531159,6486116,12963097,14756494,14733034,16718454
Uttarakhand,113866,137440,352921,404566,403234,449877
West Bengal,2520479,5056785,8062319,8856695,8839050,10908400
All India,20031618,35603276,71897609,80162429,80036180,89903131
